name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Starships,2EBCVPNAG46nbgs6jXPGvv,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,3
Wild Strawberries,5b3Qc27BoDWebXdgtMO9hr,0.647,0.933,7,-4.056,1,0.111,0.000351,0.00277,0.334,0.332,119.921,6
Papaoutai,34dx8DACTJsc3rsJdaEIQw,0.734,0.809,10,-7.264,0,0.0839,0.0266,0.0,0.0642,0.254,116.024,3
Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,3
Rock and Roll - Remaster,4PRGxHpCpF2yoOHYKQIEwD,0.317,0.887,9,-7.292,1,0.0375,0.000582,0.00258,0.0891,0.871,169.613,6
Talk Dirty (feat. 2 Chainz),4X4tgBEUiT6WqB2oTJ5ynH,0.76,0.652,6,-7.321,1,0.232,0.0348,0.0,0.307,0.759,100.315,4
La La La,3wPPWcVuinAU7dXcJXtCID,0.772,0.65,6,-5.202,0,0.0306,0.107,1.13e-06,0.0905,0.262,125.083,3
Play Hard (feat. Ne-Yo & Akon),0BBZuOGGBj9u4X3rAfmae8,0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072,3
Feel This Moment (feat. Christina Aguilera),1obZSxOoO12yWkwY1kY72N,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,5
Love Me Again,5TbzAWWc5eJaANpA9kfGCd,0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,6
A Little Party Never Killed Nobody (All We Got),36482hNESSwELpr9sS3NbE,0.761,0.619,5,-5.741,0,0.175,0.00959,3.18e-06,0.0896,0.516,129.998,3
We Found Love,0U10zFw4GlBacOy9VDGfGL,0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,5
Pompeii,4Ub8UsjWuewQrPhuepfVpd,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,5
Die Young,7EQGXaVSyEDsCWKmUcfpLk,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,3
Hymn,1JuChOEPH0Rceq573FGQSK,0.488,0.538,6,-4.974,1,0.076,0.147,0.0,0.305,0.378,67.037,5
Burn,4iJrZGr7ycnKyFxa1pfEHn,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,5
